x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
2.268341,-1.448351,1.634137,-0.142958,-0.477618,1.437361,-0.268566,0.434846,0.420024,-0.109882,-0.532641,0.604899,9.023845
37.694163,1.930971,-1.929255,-0.096816,-0.328423,2.5478,-0.333832,3.811705,0.791566,-1.204634,2.21454,2.234137,29.85998
84.566373,-0.207075,-1.03808,-1.176303,0.400092,0.384798,0.479772,7.473275,0.384675,-1.032417,-1.279066,-2.819659,20.830171
24.252037,0.547056,-1.176245,1.329721,0.191654,0.611459,0.490989,1.112821,1.459613,-0.81497,0.820708,-2.263787,10.085219
90.347338,1.742187,0.550536,2.077443,-0.024232,2.053232,-0.497413,0.479147,3.925798,-0.167077,1.161339,1.989348,24.109431
8.521451,-0.618859,0.447502,0.549935,0.466753,2.111279,-0.333038,0.870747,1.392484,-0.765246,-2.138581,1.416662,-12.840306
27.11183,0.307272,1.017439,0.902918,-0.285782,2.536955,-0.373759,0.338819,2.30305,-1.748266,1.594331,0.197374,1.365946
97.538663,0.667889,1.405062,-1.161619,0.062526,0.662417,-0.08829,2.069697,0.844119,0.133045,0.330194,-1.526087,10.592885
15.89334,0.682925,-1.777134,-0.984457,0.47417,3.636231,-0.25619,0.34246,0.338157,1.330208,0.678188,-1.315026,16.258432
53.521709,1.989257,-0.028078,0.410246,0.29856,3.115175,-0.257701,1.921871,0.242125,-2.659759,0.214055,-2.863979,24.987722
87.326062,-1.547395,-1.289525,-0.150646,0.479322,1.569471,0.164575,1.772911,1.657544,-1.071605,2.883082,-0.494135,22.852636
29.035634,1.922702,-1.321269,0.723514,0.122713,0.586899,-0.289137,0.215945,0.504753,-0.650883,-2.659453,1.789511,9.94518
59.200533,-0.895754,0.020054,-0.026698,0.129474,0.037094,-0.166139,3.069222,0.424114,-0.267883,-1.598654,2.173225,0.463041
3.569049,-1.512378,-1.531141,0.306556,0.00069,1.476963,-0.352083,0.711601,4.003673,0.069159,0.834949,-0.565988,10.736874
29.287899,-1.256347,-0.966728,-0.739616,-0.455234,2.04901,0.420248,0.427701,2.369719,0.044868,2.235749,-1.347114,-4.224177
37.566393,0.880353,1.095662,-1.361774,0.353386,0.228734,0.141166,12.253105,1.257749,-0.76193,0.82479,2.249371,26.354937
14.678801,-0.665152,0.525033,-0.673967,-0.236716,0.879673,0.32958,0.92532,0.641154,0.158915,2.979902,-0.079969,-6.189299
31.794527,1.01368,-1.545264,0.807373,-0.473756,3.575204,0.493552,2.699951,0.282354,0.632032,2.46265,-1.459072,12.249002
9.953345,0.467344,0.155785,1.515976,0.394533,0.312691,0.238171,1.659656,1.796919,-0.241689,-1.156867,-0.718716,4.513818
70.92146,-0.756964,1.413403,1.290501,-0.48409,2.753315,-0.201716,0.270108,1.401634,-0.419147,0.651313,1.950585,5.587387
14.495749,1.955301,-1.746053,0.751907,0.352407,0.194073,-0.198075,2.817898,2.901868,-0.325097,0.289725,-1.414587,50.932213
94.853866,-1.29136,-0.571198,-0.336827,0.049487,1.35509,0.374552,1.150188,1.241048,0.269682,-0.531797,2.410864,12.609118
63.587227,0.278994,-0.185117,0.433111,-0.10328,3.753162,-0.172102,1.126199,2.516178,-0.019708,-1.99126,2.533662,4.842787
84.154708,-1.545426,-1.761535,0.142951,0.178828,0.100849,-0.165148,0.774614,1.608032,0.081856,0.810097,0.505961,17.833154
4.367411,1.401249,0.731017,0.25625,0.231585,2.303696,-0.351037,0.898428,0.14361,-1.879838,-0.469018,-1.927061,13.046906
75.51246,0.651573,0.553657,0.53341,0.338514,1.427092,-0.448934,2.107543,0.346253,0.832908,1.870329,-0.430088,24.302009
5.72477,1.038813,1.17573,1.123573,0.260124,0.05414,-0.426789,0.214538,0.076926,-0.151439,1.346383,1.805,7.362811
52.087152,-1.848044,0.48785,0.143994,0.283708,2.142639,-0.336797,0.729881,0.2519,0.526975,-1.156115,0.053637,-18.117691
25.967807,-0.392601,-1.451406,-0.209148,0.282721,1.841744,0.284146,0.213221,0.196197,0.959282,1.745412,0.938921,6.230919
32.127538,-0.920499,-0.150568,-0.6813,-0.304435,2.135894,-0.421076,1.604531,0.532427,1.083269,-1.504877,-1.926184,13.492716
91.114925,-0.505233,-0.451965,-0.223141,0.185557,2.029017,-0.384729,2.354653,1.322091,0.243577,2.514912,-1.255438,18.193415
98.197729,0.978982,1.244237,0.285785,-0.446939,0.663415,-0.39297,2.024336,0.450352,-0.123534,2.965962,-2.731561,9.254681
54.399632,1.184718,0.643645,-0.756343,0.493529,1.637179,-0.143749,2.878916,6.099632,0.895746,1.290535,-0.913168,15.246494
53.590288,0.233415,-1.975011,0.665742,0.167708,1.076147,-0.413855,0.685888,1.99605,0.348405,-0.604424,2.017357,20.637181
16.04112,1.568233,-0.338556,1.175285,-0.44277,3.392197,-0.479169,0.44033,0.602477,-0.580669,-1.517981,-0.839419,19.622308
44.16762,1.458405,-0.720698,-0.486585,0.407993,1.682248,-0.342026,16.448111,1.872804,0.558444,0.867488,1.603708,24.686463
93.463303,0.235721,1.567858,0.295559,0.317617,2.994639,-0.409269,0.393976,0.701977,0.197161,0.518605,2.430862,17.551298
17.575516,-0.888677,1.582365,1.274247,-0.181935,0.199864,0.191808,7.857562,1.788851,-1.049902,-0.959755,-2.852719,30.300515
54.382727,-0.525354,0.143996,0.589776,0.022213,0.024541,-0.440189,2.128501,5.467847,1.672499,0.343026,-0.028027,9.424667
91.635335,-0.299301,0.164508,0.690394,0.108615,0.359472,0.101257,1.531461,1.356389,-0.351042,-0.907145,2.846441,16.357631
39.94148,1.694798,0.128536,0.942278,-0.158968,2.692596,0.477796,3.759261,0.289163,-0.695883,-0.575921,-1.197999,6.676031
49.36512,1.000392,-0.744089,-0.011913,-0.243244,1.150259,0.397511,0.165958,0.880858,0.184345,-0.421966,2.003701,0.509759
74.23194,-1.009824,-1.82397,-0.805022,-0.490372,3.894086,0.377055,1.641455,2.359148,-1.309148,1.377284,0.371976,5.333147
57.248965,0.467005,-0.28436,-1.425833,0.121007,2.854905,0.113707,0.686783,0.563719,0.140109,0.332951,0.41312,-2.913363
31.117048,-1.195271,-1.108603,0.909901,-0.093813,1.766889,0.069002,0.183676,2.29562,0.273947,-2.353061,-0.14362,-4.819937
19.621095,-1.419239,-1.355918,-0.603637,0.469929,2.970686,0.266739,9.206285,0.739844,0.044093,1.794998,-1.297479,19.415169
87.257378,0.426036,-1.100575,-0.929261,0.411869,0.341557,0.065233,0.544112,0.187217,0.73864,-1.221122,0.496159,19.01534
84.034971,-0.488627,-0.634652,0.352051,-0.488855,1.834828,0.16373,0.337856,1.134143,-1.823601,-1.187775,1.100471,4.29317
39.51387,0.316265,-0.543446,-1.392956,0.284061,3.116291,-0.192307,0.757454,1.119117,-0.528474,2.428862,-1.149393,20.649227
38.761997,-1.761702,-0.729706,-0.169145,0.425347,1.727412,-0.391962,8.868421,1.265235,1.406983,-1.64566,-0.758007,-24.522826
18.611646,1.565483,0.053234,-0.556175,0.177504,3.805273,0.305505,0.696856,5.691119,0.020078,1.686307,-1.603654,10.201389
33.827044,0.357689,0.675881,-1.028675,0.285598,2.549311,0.387456,4.490288,2.311339,1.526638,0.364598,1.577709,1.030761
33.349441,0.569241,-0.908957,-0.175309,-0.344687,2.088738,0.413506,0.109913,0.542909,0.670297,2.392133,1.753617,-5.912938
74.434432,-1.440688,0.950705,0.116301,-0.075384,3.78833,0.299684,0.827933,1.517157,-0.485928,1.613519,-0.581412,4.555445
81.111868,1.356277,1.133837,0.794661,-0.122532,2.901599,0.320478,0.35497,0.558102,-0.671731,-1.782527,0.868996,14.675658
4.351237,-0.690658,0.753287,-0.892645,-0.2701,1.959269,0.385699,0.111666,0.382741,-0.651715,0.428195,1.541988,-8.792273
80.176186,-1.231957,-0.553058,0.13839,0.049355,1.595598,-0.246415,0.322159,0.367147,0.001553,2.077464,-0.623503,6.181665
41.057922,-0.351073,-0.412227,-0.221254,0.392252,1.538695,-0.23271,1.607041,1.513555,0.073835,2.089424,1.03278,16.957343
41.342136,0.497198,-0.523907,0.038767,-0.217741,2.130518,-0.166656,0.7453,0.312893,0.741533,1.139558,0.908687,6.494409
34.249393,-0.44242,-1.974666,1.080407,0.320125,1.411026,0.486094,0.886873,1.429637,-1.169019,0.13078,0.676929,26.33372
96.067304,0.68081,-1.440778,0.4727,-0.162312,3.334471,-0.331293,1.451317,0.943904,1.044482,-2.263586,-0.689632,28.086667
16.011378,0.098627,-1.726924,-0.538246,-0.111887,2.411086,-0.370631,0.856544,1.210266,-1.03036,2.149555,-1.103048,17.433309
15.094905,1.960398,0.541783,1.676046,0.066634,0.900435,0.015773,1.05347,1.647494,-0.480659,-0.571217,-1.26123,19.338198
8.514848,1.769553,-1.450415,0.078966,0.490654,2.27421,0.314022,3.130672,0.582552,2.784194,0.419914,2.564018,33.857923
3.740142,-0.513117,0.819372,2.236009,-0.040174,0.691438,0.184404,0.557186,0.711348,-0.591804,0.778015,0.216726,-5.686131
7.681572,-1.408186,1.411975,-1.480751,-0.08031,2.525007,0.08416,0.562985,1.439286,0.510331,0.887705,1.957729,-1.488459
